word_english_acronym,aoa_mean,frequency_mean_subjective,imagine_mean,length,phonemes,syllables,neighbors_n,frequency_objective,frequency_mean_bigram,type_of_acronyms,voiced_feature,rt_mean
aa,4.5,2.16,2,2,2,2,2,140000000,5700,Typ ambi,voiced,801
ab,2.94,2.95,2.74,2,3,2,3,196000000,5267,Typ ambi,voiced,714
abs,4.32,3.6,2.91,3,5,3,1,44100000,15445,Typ ambi,voiced,686
adapei,4.93,2.65,1.7,6,6,4,0,39500,4186,Atyp Ambig,voiced,1212
adn,3.5,4.9,4.62,3,5,3,1,2130000,4699,Typ ambi,voiced,643
adsl,4.09,4.68,4.05,4,7,4,0,5650000,3280,NA,voiced,NA
afpa,4.71,2.79,1.95,4,4,2,0,169000,4697,Atyp Ambig,voiced,931
afssaps,4.93,2.25,1.5,7,6,2,0,159000,9936,Atyp Ambig,voiced,1305
aids,4.63,3.47,2.79,4,3,1,2,29000000,16246,Atyp Ambig,voiced,NA
anpe,4.24,4.6,4.09,4,6,4,2,202000,13089,Typ ambi,voiced,726
aoc,4.42,4.45,2.43,3,4,3,0,3410000,3732,Typ ambi,voiced,791
apl,4.77,4.9,3.77,3,5,3,0,2010000,4949,Typ ambi,voiced,667
areva,4.76,4.15,2.79,5,5,3,2,721000,8369,Atyp Ambig,voiced,823
assedic,4.5,4.3,3.36,7,6,3,0,191000,6108,Atyp Ambig,voiced,764
avc,4.18,4.89,3.86,3,5,3,0,3070000,3604,Typ ambi,voiced,730
avs,4.71,3.68,2.2,3,5,3,1,3890000,14934,Typ ambi,voiced,739
axa,3.91,3.4,3.57,3,4,2,1,1270000,4414,Atyp Ambig,voiced,790
ba,4.47,3.58,2.33,2,3,2,3,154000000,5234,Typ ambi,voiced,774
bafa,4.32,4.85,3.91,4,4,2,0,358000,3776,Atyp Ambig,voiced,718
bcbg,3.73,4.65,4.29,4,8,4,0,1650000,1477,Typ non ambig,voiced,920
bce,4.88,3.65,2.42,3,5,3,2,6570000,10779,Typ ambi,voiced,737
bcg,4.42,3.42,1.94,3,6,3,0,1530000,1846,Typ non ambig,voiced,858
bd,2.09,4.89,4.95,2,4,2,2,103000000,2626,Typ non ambig,voiced,701
bep,4.09,4.47,3.14,3,5,3,1,1640000,2428,Typ ambi,voiced,749
bepc,4.53,3.37,2.65,4,7,4,1,82800,1970,Typ ambi,voiced,921
bit,4.44,2.85,2.11,3,5,3,1,166000000,11952,Typ ambi,voiced,909
bn,2.95,4,4.62,2,4,2,2,28100000,3824,Typ non ambig,voiced,703
bnf,4.8,2.68,2.3,3,6,3,0,1140000,2288,Typ non ambig,voiced,790
bnp,4,4.7,3.95,3,6,3,0,2530000,1822,Typ non ambig,voiced,725
bo,3.74,4.37,3.52,2,3,2,3,56800000,3753,Typ ambi,voiced,761
bp,4.18,3.95,3.3,2,4,2,1,75300000,2423,Typ non ambig,voiced,752
bsr,4.23,3.6,3.52,3,6,3,0,1210000,4024,Typ non ambig,voiced,772
btp,4.5,4.05,3.33,3,6,3,0,1110000,1840,Typ non ambig,voiced,747
bts,4.5,4.95,3.95,3,6,3,0,6860000,13960,Typ non ambig,voiced,668
bu,4.95,4.9,4.55,2,3,2,2,47200000,3013,Typ ambi,voiced,756
ca,4.26,3.79,2.5,2,3,2,3,330000000,8854,Typ ambi,NA,882
cac,4.5,4.4,2,3,5,3,2,6350000,6648,Typ ambi,NA,NA
caf,4.5,4.75,4.09,3,3,1,2,9060000,5824,Atyp Ambig,NA,820
cap,4.32,4.8,3.48,3,5,3,2,74100000,6299,Typ ambi,NA,873
capes,4.81,4.6,3.05,5,5,2,3,2120000,16624,Atyp Ambig,NA,898
cat,4.81,2.42,2.3,3,5,3,2,132000000,13989,Typ ambi,NA,1040
ccc,4.63,1.85,1.65,3,6,3,0,12400000,5759,Typ non ambig,NA,865
ccfd,4.8,2.25,1.89,4,8,4,0,210000,3542,Typ non ambig,NA,1027
cci,4.83,2.53,2.67,3,5,3,1,3460000,6072,Typ ambi,NA,833
cco,4.93,2.84,1.75,3,5,3,1,1140000,7163,Typ ambi,NA,845
cd,2.18,4.85,4.38,2,4,2,2,260000000,5468,Typ non ambig,NA,735
cdd,4,4.84,4,3,6,3,0,3800000,4117,Typ non ambig,NA,754
cdi,3.82,4.89,4.14,3,5,3,1,2520000,6148,Typ ambi,NA,740
ce,4,4.4,2.58,2,3,2,3,245000000,17223,Typ ambi,NA,771
cedex,3.5,4.65,3.59,5,6,2,2,6890000,4843,Atyp Ambig,NA,816
cee,4.56,4,2.11,3,4,3,1,240000000,12942,Typ ambi,NA,887
ceg,4.93,1.16,1.63,3,5,3,1,821000,5129,Typ ambi,NA,913
cei,4.93,2.35,2.2,3,4,3,2,843000,6190,Typ ambi,NA,944
cfa,4.45,4.2,4,3,5,3,3,9640000,5670,Typ ambi,NA,836
cfdt,4.67,4.6,2.42,4,8,4,0,210000,8340,Typ non ambig,NA,922
cg,4.69,2.6,2.26,2,4,2,2,26200000,5312,Typ non ambig,NA,833
cgc,4.78,2.9,2.5,3,6,3,0,1420000,3992,Typ non ambig,NA,1010
cgt,4.14,4.75,3.48,3,6,3,0,1370000,10439,Typ non ambig,NA,822
chu,3.55,4.7,4.73,3,5,3,0,17400000,6584,Typ ambi,NA,789
cia,3.64,4.16,3.57,3,4,3,3,21400000,6850,Typ ambi,NA,814
cic,3.86,4.11,4.16,3,5,3,1,2950000,5968,Typ ambi,NA,848
cie,4.41,2.47,2.62,3,4,3,2,1970000,16257,Typ ambi,NA,905
