word_spanish,translate_word_english,semantic_category,domain,aoa_subjective_mean,aoa_subjective_sd,familiar_mean,familiar_sd,manip_mean,manip_sd,typicality_mean,typicality_sd,percent_total_36,frequency_log,frequency_espal,frequency_crea,frequency_cuetosetal_2012,length,syllables,subjects
guanaco,guanaco,Animals,Living Things,4.45,3.44,1.18,1.12,0.73,0.63,1.16,0.97,0.03,10.66,2.33,34,0,7,3,25
hámster,hamster,Animals,Living Things,3.84,1.23,3.27,1.32,2.09,1.22,3.73,0.8,0.03,13.35,1.92,24,2.11,6,2,38
hiena,hyena,Animals,Living Things,4.38,1.26,2.63,1.24,1.76,1.37,3.19,0.98,0.03,11.1,2.43,120,1.46,5,2,38
hipopótamo,hippopotamus,Animals,Living Things,3.28,0.89,3.42,0.99,1.24,0.59,4.1,0.92,0.06,11.8,2.2,100,1.58,10,5,38
hurón,ferret,Animals,Living Things,5.5,1.39,2.42,1.06,1.62,1.24,2.96,1.25,0.03,8.51,3.53,67,1.91,5,2,38
jabalí,wild boar,Animals,Living Things,3.51,1.13,3.07,1.26,1.39,0.69,3.66,1.05,0.11,9.99,3.1,322,1.98,6,3,38
jirafa,giraffe,Animals,Living Things,2.61,1.16,3.11,1.34,2.11,1.73,4.4,0.84,0.03,12.95,2.31,73,1.92,6,3,38
lagartija,wall lizard,Animals,Living Things,2.84,0.96,3.4,1.34,1.5,0.72,3.57,1.17,0.03,11.35,2.66,216,1.85,9,4,38
lagarto,lizard,Animals,Living Things,3.24,1.12,3.42,1.03,1.32,0.63,3.76,1.17,0.11,12.69,3.24,310,2.12,7,3,38
león,lion,Animals,Living Things,2.03,0.84,3.51,1.14,2.29,1.71,4.89,0.45,0.31,13.8,4.5,1160,2.87,4,2,38
liebre,hare,Animals,Living Things,3.47,1.29,3.47,1.17,2.44,1.64,3.86,1.09,0.28,12.86,3.09,572,2.15,6,2,38
lince,lynx,Animals,Living Things,4.59,1.31,2.82,1.12,1.14,0.48,3.7,1.12,0.03,13.15,2.83,226,1.54,5,2,38
llama,llama,Animals,Living Things,4.98,1.46,2.52,1.5,1.41,0.84,2.55,1.4,0.03,15.5,4.45,16656,4.04,5,2,38
lobo,wolf,Animals,Living Things,2.66,1.33,3.39,1.1,2.35,1.55,4.41,0.84,0.14,14.67,3.75,1326,3,4,2,38
loro,parrot,Animals,Living Things,2.95,0.98,3.56,1.28,2.5,1.74,3.83,1.33,0.03,13.68,3.34,472,2.23,4,2,38
macho,male mule,Animals,Living Things,3.23,1.6,3.5,1.59,1.46,0.9,2.49,1.5,0.06,14,3.52,1917,2.73,5,2,38
marta,pine marten,Animals,Living Things,4.55,2.9,1.35,1.06,1.02,0.57,1.39,1.19,0.03,15.38,3.69,38,2.49,5,2,30
mejillón,mussel,Animals,Living Things,4.31,1.62,3.78,0.98,2.82,1.27,2.61,1.32,0.03,11.66,2.08,76,0,8,3,38
merluza,hake,Animals,Living Things,3.87,1.39,4.02,1.07,3.21,1.61,3.32,1.38,0.03,13.39,2.7,456,1.08,7,3,38
mono,monkey,Animals,Living Things,2.56,0.92,3.47,1.32,1.6,1.04,4.37,0.77,0.08,14.57,3.77,1560,3.14,4,2,38
mula,mule,Animals,Living Things,3.15,1.16,3.01,1.3,1.79,1.23,3.82,1.27,0.28,13.77,3.36,656,2.28,4,2,38
nutria,otter,Animals,Living Things,4.83,1.31,2.63,0.94,1.22,0.61,3.46,1.09,0.03,11.43,3.46,90,0.48,6,2,38
okapi,okapi,Animals,Living Things,4.05,3.48,0.83,0.69,0.72,0.8,0.79,0.74,0.03,10.43,1.34,6,0,5,3,21
orangután,orang-utan,Animals,Living Things,3.73,1.04,2.83,1.12,1.85,1.35,3.78,1.02,0.06,11.52,2.02,85,0.6,9,4,38
oso,bear,Animals,Living Things,2.44,1.03,3.49,1.16,1.32,0.84,4.77,0.44,0.08,14.5,3.62,917,0.7,3,2,38
oveja,sheep,Animals,Living Things,2.06,0.92,3.8,1.14,1.99,1.31,4.5,0.69,0.42,13.6,3.81,739,2.41,5,3,38
pájaro,bird,Animals,Living Things,1.68,0.63,4.55,0.88,1.4,0.74,4.68,0.36,0.03,14.15,3.74,2074,2.85,6,3,38
paloma,dove,Animals,Living Things,2.63,1.27,4.24,0.99,1.49,0.98,4.34,0.94,0.08,14.68,3.6,836,1.41,6,3,38
pantera,panther,Animals,Living Things,3.89,1.2,2.69,1.31,1.13,0.48,3.82,1.17,0.14,13.43,3.03,273,1.84,7,3,38
pato,duck,Animals,Living Things,2.08,0.6,4.18,1.09,1.62,1.03,4.28,0.72,0.14,14.2,3.65,713,0.48,4,2,38
pavo,turkey,Animals,Living Things,3.32,1.2,3.5,1.32,1.99,1.2,3.61,1.22,0.11,13.78,3.64,653,0.6,4,2,38
pavo real,peacock,Animals,Living Things,3.45,1.26,3.08,1.27,1.58,0.99,3.46,1.12,0.03,12.28,0,145,0,9,4,38
perdiz,partridge,Animals,Living Things,4.19,1.54,3.32,1.14,1.66,1.22,3.53,1,0.11,13.12,3.61,455,3.96,6,2,38
perezoso,sloth,Animals,Living Things,5.48,1.59,2.14,1.38,1.26,0.6,2.18,1,0.03,11.6,2.92,281,1.66,8,4,38
perro,dog,Animals,Living Things,1.59,0.76,4.9,0.27,2.38,1.5,4.97,0.19,0.72,15.35,4.33,6489,3.4,5,2,38
pescadilla,whiting,Animals,Living Things,4.68,1.45,3.73,1.16,2.97,1.37,3.13,1.36,0.03,11.03,1.95,116,1.23,10,4,38
pez emperador,swordfish,Animals,Living Things,5.63,1.27,2.95,1.12,2.19,1.45,2.66,1.32,0.03,11.48,0,1,0,12,5,38
pollo,chicken,Animals,Living Things,2.12,0.5,4.45,0.92,2.91,1.42,4.35,0.87,0.14,14.52,3.48,2605,2.36,5,2,38
raposo,fox,Animals,Living Things,4.42,3,1.11,1.24,1.13,1.05,1.39,1.31,0.06,10.96,1.94,10,0,6,3,30
rata,rat,Animals,Living Things,2.69,1.39,2.99,1.33,1.96,1.61,4.06,1.26,0.08,13.47,3.24,735,2.97,4,2,38
ratón,mouse,Animals,Living Things,2.31,0.95,3.69,1.22,2.36,1.62,4.39,0.98,0.17,15.08,3.42,1577,1.23,5,2,38
rinoceronte,rhinoceros,Animals,Living Things,3.51,1.13,3.14,1.44,1.12,0.31,3.85,1.14,0.06,11.43,2.68,121,1.3,11,5,38
serpiente,snake,Animals,Living Things,2.61,1.18,3.19,1.2,2.13,1.64,3.85,1.23,0.06,13.96,3.6,1412,2.56,9,3,38
tejón,badger,Animals,Living Things,5.2,1.51,2,1.04,1.44,1.22,2.46,1.23,0.03,14.33,2.37,16,1.15,5,2,36
ternera,calf,Animals,Living Things,3.82,1.66,3.69,1.16,2.82,1.59,3.3,1.32,0.08,13.58,3.06,565,0.48,7,3,38
tigre,tiger,Animals,Living Things,2.57,0.83,3.53,1.26,1.18,0.8,4.52,0.62,0.22,14.36,3.91,937,2.25,5,2,38
topo,mole,Animals,Living Things,4.2,1.46,2.91,1.17,1.19,0.59,3.2,1.07,0.06,13.57,2.84,162,1.78,4,2,38
toro,bull,Animals,Living Things,2.86,1.21,3.53,0.98,1.52,0.99,4.32,0.86,0.08,15.06,3.98,5725,1.49,4,2,38
tortuga,tortoise,Animals,Living Things,2.42,0.92,3.55,1.17,2.1,1.6,3.93,1.17,0.03,14.07,3.24,688,2.27,7,3,38
urraca,magpie,Animals,Living Things,4.83,1.34,2.94,1.28,1.34,0.69,3.07,1.15,0.03,11.4,3.42,66,0.78,6,3,38
vaca,cow,Animals,Living Things,2.22,1.36,3.89,1.27,1.9,1.17,4.82,0.48,0.56,14.43,3.65,1947,1.57,4,2,38
venado,deer,Animals,Living Things,5.53,1.3,2.75,0.78,1.56,1.1,3.14,1.17,0.03,12.3,3.17,402,1.51,6,3,38
yegua,mare,Animals,Living Things,3.68,1.23,3.3,1.34,2.56,1.68,3.88,1.09,0.06,12.45,2.95,499,1.46,5,2,38
abdominal,abdominal,Body Parts,Living Things,4.89,1.45,3.84,1.26,1.5,1.16,3.02,1.48,0.03,13.55,2.78,953,2.02,10,4,38
antebrazo,forearm,Body Parts,Living Things,4.32,1.32,3.82,1.17,1.99,1.05,3.74,1.25,0.06,11.74,2.65,551,1.52,9,4,38
asadura,offal,Body Parts,Living Things,3.94,3.17,1.29,1.32,0.97,1.22,1.2,1.2,0.11,10.1,1.57,23,0,7,4,27
astrágalo,astragalus,Body Parts,Living Things,3.99,3.42,1.34,1.33,0.89,1.19,1.19,1.03,0.03,10.86,1.73,49,0,9,4,23
barbilla,chin,Body Parts,Living Things,2.74,1.44,4.19,0.98,2.82,1.72,3.91,1.02,0.03,11.6,2.97,783,2.2,8,3,38
boca,mouth,Body Parts,Living Things,1.76,0.99,4.89,0.19,2.38,1.42,4.71,0.42,0.31,15.17,4.42,17627,3.76,4,2,38
brazo,arm,Body Parts,Living Things,1.78,1.28,4.69,0.82,3.65,1.19,4.82,0.7,0.69,13.97,4.18,9784,3.37,5,2,38
cabellera,head of hair,Body Parts,Living Things,4.23,1.54,3.43,1.22,2.66,1.28,2.56,1.16,0.03,11.46,3.14,805,1.73,9,4,38
cabeza,head,Body Parts,Living Things,1.66,0.81,4.97,0.19,2.11,1.25,4.9,0.38,0.72,15.29,4.83,39460,4.17,6,3,38
cadera,hip,Body Parts,Living Things,4.16,1.43,4.14,1.14,1.82,1.27,3.66,0.9,0.03,13.48,2.96,1017,2.42,6,3,38
calcáneo,calcaneus,Body Parts,Living Things,4.85,3.37,1.43,1.5,1,1.33,1.11,1.24,0.03,10.71,1.54,62,0,8,3,28
cara,face,Body Parts,Living Things,1.56,0.58,4.92,0.32,2.24,1.4,4.68,0.72,0.11,15.67,4.58,28008,4,4,2,38
carpo,carpus,Body Parts,Living Things,4.74,2.81,1.5,1.37,1.27,1.39,1.52,1.51,0.03,11.08,1.9,58,0,5,2,32
caspa,dandruff,Body Parts,Living Things,4.99,1.55,2.89,1.32,2.24,1.47,1.44,0.62,0.03,12.8,2.14,122,1.46,5,2,38
ceja,eyebrow,Body Parts,Living Things,2.91,1.28,4.28,0.69,1.74,1.22,3.73,1.14,0.03,12.04,2.92,537,1.81,4,2,38
cerebro,brain,Body Parts,Living Things,3.73,1.27,4.75,0.62,1.68,1.23,4.46,0.69,0.06,14.2,3.99,6909,3.59,7,3,38
cervical,neck bone,Body Parts,Living Things,5.48,1.29,3.61,0.98,2.72,1.57,2.99,1.2,0.03,13.28,2.63,524,1.53,8,3,38
codo,elbow,Body Parts,Living Things,2.53,1.45,4.31,0.79,3.35,1.49,4.21,0.9,0.17,13.22,3.31,1284,2.35,4,2,38
colon,colon,Body Parts,Living Things,5.86,1.14,2.89,1.17,1.86,1.37,2.77,1.27,0.03,14.95,2.88,588,2.1,5,2,38
columna vertebral,backbone,Body Parts,Living Things,4.34,1.39,4.34,0.93,1.67,1.26,4.14,0.89,0.06,12.84,0,812,0,16,6,38
corazón,heart,Body Parts,Living Things,2.4,1.07,4.57,0.74,1.23,0.59,4.69,0.78,0.31,15.81,4.66,17843,4.02,7,3,38
costilla,rib,Body Parts,Living Things,3.48,1.16,4.09,0.94,1.26,0.68,3.94,1,0.08,12.38,2.76,373,2.11,8,3,38
cúbito,ulna,Body Parts,Living Things,5.37,1.41,2.52,1.34,1.42,0.88,2.72,1.3,0.06,11.46,1.81,69,1.11,6,3,38
cuello,neck,Body Parts,Living Things,2.21,0.99,4.61,0.73,1.92,1.18,4.39,0.69,0.22,14.26,4.05,8519,3.37,6,2,38
cuerpo,body (thorax),Body Parts,Living Things,1.84,0.69,4.63,0.86,3.13,1.63,3.94,1.55,0.17,15.83,4.88,43491,3.96,6,2,38
dedo,finger,Body Parts,Living Things,1.57,0.71,4.89,0.36,3.78,1.58,4.57,0.74,0.42,14.08,3.79,4860,3.28,4,2,38
diente,tooth,Body Parts,Living Things,1.83,0.76,4.68,0.44,2.08,1.41,3.88,1.07,0.14,13.8,3.24,1194,2.61,6,2,38
espalda,back,Body Parts,Living Things,2.35,1.07,4.76,0.45,1.95,1.31,4.51,0.57,0.11,14.29,4,7980,3.45,7,3,38
estómago,stomach,Body Parts,Living Things,3.12,1.21,4.32,0.77,1.16,0.42,4.12,0.92,0.22,14.12,3.56,3760,3.13,8,4,38
extremidades,limbs,Body Parts,Living Things,3.76,1.45,4.18,0.97,3.38,1.53,4.27,0.97,0.03,12.9,3.17,1327,1.97,12,5,38
falange,phalanx,Body Parts,Living Things,5.35,1.56,3.11,1.37,2.9,1.66,2.72,1.31,0.06,11.62,3.02,130,1.43,7,3,38
fémur,femur,Body Parts,Living Things,4.73,1.31,3.63,1.08,1.29,0.88,3.61,1.16,0.06,11.9,2.63,288,1.59,5,2,38
fosa nasal,nostril,Body Parts,Living Things,4.81,1.8,3.89,1.19,1.85,1.17,2.82,1.28,0.06,11.34,0,45,0,9,4,38
frente,forehead,Body Parts,Living Things,2.39,1.43,4.49,0.69,3.33,1.48,3.97,1.07,0.08,15.52,4.99,56243,3.77,6,2,38
garganta,throat,Body Parts,Living Things,2.47,1,4.41,0.84,2.88,1.69,4.09,0.98,0.06,14.03,3.67,2817,3.01,8,3,38
glúteo,gluteus,Body Parts,Living Things,5,1.87,3.71,1.1,1.86,1.2,3.62,1.23,0.03,11.45,1.78,133,1,6,2,38
hígado,liver,Body Parts,Living Things,4.03,1.32,3.74,1.18,1.18,0.39,3.78,1.19,0.31,14.08,3.35,2694,2.9,6,3,38
hombro,shoulder,Body Parts,Living Things,2.86,1.12,4.28,0.9,1.76,0.96,4.29,0.79,0.17,13.49,3.73,4038,2.96,6,2,38
hueso,bone,Body Parts,Living Things,2.64,1.04,4.33,0.88,1.76,1.04,4.27,1.14,0.03,13.8,3.62,2761,2.85,5,2,38
húmero,humerus,Body Parts,Living Things,5.81,1.31,3.13,1.21,1.44,0.8,3.18,1.12,0.03,13.04,2.14,125,1.11,6,3,38
intestino,intestine,Body Parts,Living Things,4.59,1.17,3.54,1.18,1.34,0.84,3.35,1.12,0.08,13.45,2.99,1192,2.23,9,4,38
labio,lip,Body Parts,Living Things,2.49,1.23,4.59,0.55,1.86,1.2,4.11,1.04,0.06,12.84,3.09,906,2.3,5,2,38
lengua,tongue,Body Parts,Living Things,1.83,0.75,4.61,0.72,3.17,1.51,4.3,0.81,0.14,15.74,4.57,13021,3.22,6,2,38
lumbar,lumbar,Body Parts,Living Things,5.74,1.47,3.34,1,2.42,1.35,2.78,1.05,0.03,13.22,2.47,475,2.06,6,2,38
mano,hand,Body Parts,Living Things,1.47,0.75,4.97,0.19,4.08,1.03,4.89,0.76,0.58,16.52,4.86,47248,4.03,4,2,38
matriz,womb,Body Parts,Living Things,5.5,2.37,2.52,1.65,1.8,1.65,1.84,1.42,0.03,13.88,3.67,1606,2.13,6,2,35
metacarpo,metacarpus,Body Parts,Living Things,6.06,1.98,2.7,1.47,2.16,1.52,2.41,1.38,0.03,9.91,1.36,17,0.6,9,4,38
metatarso,metatarsus,Body Parts,Living Things,5.89,1.95,2.18,1.46,1.84,1.42,2.27,1.48,0.03,10.54,1.62,24,0,9,4,34
monte de venus,mound of venus,Body Parts,Living Things,6.13,2.18,2.66,1.45,1.92,1.39,2.18,1.36,0.06,11.81,0,4,0,12,5,35
muela,back tooth / molar,Body Parts,Living Things,3.23,1.29,4.49,0.79,2.05,1.33,3.22,1.36,0.03,13.43,2.82,206,1.81,5,2,38
muñeca,wrist,Body Parts,Living Things,3,1.42,4.15,1.15,2.56,1.31,3.97,0.9,0.17,11.22,3.34,1777,3.09,6,3,38
músculo,muscle,Body Parts,Living Things,3.37,1.04,4.29,0.74,2.04,1.19,3.94,0.99,0.03,13.5,3.33,1937,2.42,7,3,38
muslo,thigh,Body Parts,Living Things,3.43,1.37,4.3,0.81,1.87,1.19,3.98,0.84,0.14,12.27,3,1002,2.19,5,2,38
nariz,nose,Body Parts,Living Things,1.51,0.79,4.83,0.42,2.5,1.31,4.68,0.45,0.36,13.86,3.8,4728,3.35,5,2,38
nuca,nape,Body Parts,Living Things,3.81,1.32,4.18,1.08,1.84,1.17,3.74,1.2,0.03,12.25,3.14,1807,2.95,4,2,38
nudillo,knuckle,Body Parts,Living Things,4.1,1.51,3.8,1.07,3.05,1.71,2.89,1.17,0.03,9.76,1.66,15,1.93,7,3,38
oído,inner ear,Body Parts,Living Things,2.74,1.21,4.63,0.64,2.03,1.28,3.99,0.86,0.06,14.21,4.02,8668,2.9,4,3,38
ojo,eye,Body Parts,Living Things,1.59,0.82,4.77,0.7,1.66,1.2,4.89,0.36,0.47,14.78,4.09,7420,4,3,2,38
ombligo,navel,Body Parts,Living Things,2.39,1.26,4.12,0.85,2.92,1.67,3.86,1.18,0.06,13.05,2.93,719,0.95,7,3,38
oreja,ear,Body Parts,Living Things,1.93,0.89,4.66,0.6,1.97,1.33,4.56,0.68,0.25,14.01,3.81,3258,2.76,5,3,38
paladar,palate,Body Parts,Living Things,3.76,1.39,3.82,1.47,1.54,0.94,3.06,1.38,0.03,13.14,2.93,808,1,7,3,38
palma,palm,Body Parts,Living Things,2.81,0.88,4.24,0.88,3.77,1.59,3.39,1.43,0.06,16.13,3.95,1702,1.95,5,2,38
páncreas,pancreas,Body Parts,Living Things,5.5,1.16,3.16,1.17,1.32,0.82,3.04,1.13,0.08,12.92,2.73,528,0.6,8,2,38
pantorrilla,calf,Body Parts,Living Things,4.16,1.45,3.66,1.23,1.61,0.95,3.48,1.22,0.06,10.95,2.3,164,1.45,11,4,38
parietal,parietal bone,Body Parts,Living Things,6.67,0.65,3.08,1.37,1.27,0.84,2.11,1.18,0.03,11.16,2.38,149,0.48,8,3,38
párpado,eyelid,Body Parts,Living Things,3.76,1.2,3.72,1.31,1.42,0.96,3.16,1.2,0.03,11.71,2.36,300,1.88,7,3,38
pecho,chest,Body Parts,Living Things,3.31,1.62,4.18,1,1.86,1.4,3.96,0.94,0.25,14.32,4.15,7637,2.91,5,2,38
pelo,hair,Body Parts,Living Things,1.55,0.69,4.74,0.31,3.39,1.18,3.8,1.34,0.36,15.19,4.03,9835,1.18,4,2,38
pene,penis,Body Parts,Living Things,4.18,1.52,4.41,1.04,3.29,1.03,3.93,1.37,0.03,14.38,3.18,1023,2.28,4,2,38
peroné,fibula,Body Parts,Living Things,4.85,1.39,3.26,1.31,1.34,0.74,3.16,1.35,0.08,12.5,2.29,94,1.15,6,3,38
pie,foot,Body Parts,Living Things,1.54,0.69,4.75,0.73,2.97,1.31,4.86,0.62,0.69,15.49,4.52,20499,0.78,3,1,38
pierna,leg,Body Parts,Living Things,1.81,0.72,4.89,0.19,1.82,1.12,4.77,0.38,0.67,13.76,3.68,3970,3.4,6,2,38
piramidal,pyramidal,Body Parts,Living Things,5.95,2.75,1.76,1.35,1.16,0.97,1.34,1.14,0.03,11.86,2.65,235,0.48,9,4,35
pisiforme,pisiform bone,Body Parts,Living Things,4.08,3.48,1.2,0.96,0.66,0.74,0.71,0.79,0.03,9.05,1.08,6,0,10,4,23
pubis,pubis,Body Parts,Living Things,5.36,1.45,3.69,1.03,1.82,1.2,3.29,1.35,0.03,12.27,2.57,492,1.92,5,2,38
pulmón,lung,Body Parts,Living Things,3.48,1.16,4.24,0.9,1.21,0.6,4.26,0.91,0.06,12.66,3.27,1243,2.24,6,2,38
radio,radius,Body Parts,Living Things,5.03,1.63,2.89,1.4,2,1.7,2.21,1.41,0.06,14.81,4.51,14869,1.66,5,2,38
riñón,kidney,Body Parts,Living Things,4.41,1.27,3.91,1.2,1.48,1.08,3.87,1.13,0.11,12.96,2.99,954,1.15,5,2,38
rodilla,knee,Body Parts,Living Things,2.46,1,4.52,0.62,1.63,1.01,4.41,0.64,0.19,13.79,3.57,2116,3.01,7,3,38
sangre,blood,Body Parts,Living Things,2.18,0.84,3.96,1.25,1.71,1.14,2.97,1.4,0.06,15.03,4.51,20665,1.23,6,2,38
semilunar,semilunar bone,Body Parts,Living Things,5.01,3.05,1.9,1.04,1.79,1.04,1.37,1,0.03,9.6,1.58,8,0,9,4,28
sobaco,armpit,Body Parts,Living Things,3.26,1.19,3.86,1.3,2.64,1.7,3.31,1.16,0.03,10.57,1.98,149,0.95,6,3,38
talón,heel,Body Parts,Living Things,3.59,1.32,3.61,1.12,1.54,0.96,3.32,1.2,0.08,10.72,2.87,655,1.2,5,2,38
tarso,tarsus,Body Parts,Living Things,5.78,2.19,1.68,1.36,1.61,1.14,1.76,1.27,0.03,11.31,2.62,57,0,5,2,34
tendón,tendon,Body Parts,Living Things,5.27,1.27,3.32,1.1,2.35,1.56,2.84,1.26,0.06,12.74,2.61,286,1.51,6,2,38
tibia,tibia / shinbone,Body Parts,Living Things,4.89,1.29,3.19,1.15,1.86,1.4,2.97,1.07,0.11,12.84,3.04,1313,1.46,5,2,38
tobillo,ankle,Body Parts,Living Things,3.19,1.36,4.59,0.7,1.89,1.46,4.18,1.02,0.03,13.11,3.1,861,2.27,7,3,38
tórax,thorax,Body Parts,Living Things,5.03,1.23,3.62,1.23,1.34,0.46,3.63,1.12,0.06,12.53,2.83,827,1.75,5,2,38
tripa,belly,Body Parts,Living Things,2.73,1.62,4.38,1.09,1.66,1.22,3.92,1.18,0.03,12.72,2.54,343,2.32,5,2,38
tronco,trunk,Body Parts,Living Things,3.53,1.17,4.05,1.12,1.65,1.06,3.82,1.12,0.06,13.58,3.59,2723,0.48,6,2,38
uña,finger nail / toenail,Body Parts,Living Things,1.99,0.86,4.71,0.42,3.69,1.33,3.76,1.34,0.33,14.47,2.71,493,2.85,3,2,38
