word_french,translate_word_english,aoa_mean,aoa_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd
a priori,a priori,3.65,0.95,4.43,0.86,2.1,1.42
abaisse-langue,tongue depressor,4.74,0.58,1.7,0.95,1.83,1.37
abat-jour,lampshade,3.42,1.09,3.87,1.41,4.1,0.99
accroche-cœur,kiss-curl,4.32,0.91,2.4,1.4,1.77,0.97
accusé de réception,acknowledgment of receipt,4.23,0.76,4.23,1.28,3.63,1.1
âge d'or,Golden age,3.97,0.84,3.77,1.33,2.4,1.35
aide à domicile,home help,3.74,0.89,4.5,1.04,4,1.05
aide-mémoire,checklist,3.61,0.99,3.8,1.52,2.8,1.32
aide-soignante,caregiver,3.52,0.89,4.53,1.01,4.2,0.96
aigre-doux,bittersweet,4.13,0.81,3.43,1.57,2.47,1.41
aller-retour,round trip,2.42,0.67,4.8,0.61,3.4,1.3
allume-cigares,cigarette lighter,3.65,0.84,4.43,1.01,4.33,1.15
allume-gaz,gas lighter,3.77,0.76,4.03,1.45,4.2,1.1
amour-propre,pride,3.97,0.95,4.37,1.13,2.43,1.36
amuse-bouche,taster,3.68,0.79,4.4,0.97,4.3,0.79
amuse-gueule,appetizer,3.55,0.81,4.13,1.36,4.33,0.96
anglo-saxon,Anglo-Saxon,3.97,0.8,4.23,1.17,3,1.44
année-lumière,light year,4,0.89,4.2,1.19,2.43,1.36
anti-âge,anti-aging,3.94,0.85,3.83,1.42,3.3,1.47
anti-inflammatoire,anti-inflammatory,3.84,0.93,4.57,0.94,3.67,1.24
appareil-photo,camera,2.16,0.73,4.93,0.37,4.9,0.31
appui-main,hand rest,3.68,0.91,2.93,1.53,3.07,1.44
après-demain,after tomorrow,2.13,0.72,4.87,0.43,2.93,1.66
après-midi,afternoon,1.68,0.65,4.93,0.37,3.47,1.43
après-rasage,after-shave,3.58,0.85,4.6,0.86,4.27,0.98
après-ski,after ski,3.52,0.85,3.77,1.63,3.3,1.64
après-soleil,after-sun,3.23,0.92,4.33,1.24,3.67,1.58
arc-boutant,flying buttress,4.68,0.54,2,1.14,1.73,1.11
arc-en-ciel,rainbow,1.61,0.62,4.87,0.43,4.93,0.25
arme à feu,firearm,2.87,0.62,4.63,0.96,4.7,0.7
arrêt de mort,death warrant,3.9,0.94,3.5,1.63,2.1,1.27
arrière-boutique,back of shop,3.61,0.72,4.03,1.3,3.73,1.14
arrière-goût,aftertaste,3.06,0.93,4.53,0.94,3.07,1.53
arrière-pays,hinterland,4.26,0.73,3.23,1.68,2.03,1.43
arrière-pensée,afterthought,3.84,0.73,4.67,0.96,2.73,1.48
arrière-train,rump,3.26,1.06,4.17,1.23,3.07,1.41
atout maître,master asset,4.77,0.43,2.2,1.4,1.6,0.86
attaché-case,attache case,4.55,0.68,2.7,1.7,2.87,1.59
attrape-mouche,flytrap,2.97,1.05,3.7,1.49,3.6,1.43
attrape-nigaud,hoax,3.94,0.96,3.87,1.61,2.33,1.4
au-delà,beyond,3.39,1.02,4.33,1.21,2.7,1.47
audio-visuel,audio-visual,3.84,0.82,4.53,1.01,3.17,1.37
aujourd'hui,today,1.58,0.67,4.93,0.37,3.43,1.5
auto-accusation,self-accusation,4.42,0.76,3.17,1.51,1.9,1.03
auto-adhésif,self-adhesive,3.84,0.93,3.87,1.46,3.5,1.46
auto-école,driving school,3.84,0.82,4.73,0.78,4.73,0.64
auto-stoppeur,hitchhiker,3.45,0.93,4.2,1.21,4.6,0.62
autre part,somewhere else,2.55,0.96,4.43,1.14,2.3,1.39
avant-bras,forearm,2.32,0.83,4.87,0.51,4.8,0.41
avant-dernière,penultimate,2.68,0.91,4.83,0.38,3.03,1.54
avant-garde,avant-garde,4.03,0.91,3.17,1.49,2.17,1.15
avant-goût,foretaste,3.58,0.89,4.37,0.89,2.57,1.43
avant-hier,before yesterday,2.19,0.7,4.87,0.35,2.87,1.61
avant-poste,outpost,4.19,0.75,3.27,1.6,2.23,1.28
avant-première,preview,3.74,0.82,4.4,1.3,3.1,1.47
avocat-conseil,legal advisor,4.58,0.56,2.57,1.65,2.47,1.41
ayant droit,beneficiary,4.32,0.83,3.47,1.48,1.67,1.06
bain-marie,bain marie,4,0.77,4.1,1.35,3.37,1.54
balai-brosse,broom,2.65,0.71,4.47,0.97,4.47,0.94
bande dessinée,comic strip,1.9,0.54,4.77,0.82,4.77,0.73
bande-annonce,trailer,2.94,0.89,4.8,0.76,4,1.31
bas-coté,verge,3.74,0.89,4.2,1.1,3.6,1.33
bas-fond,underworld,3.97,0.75,3.2,1.54,1.83,0.99
basket-ball,basketball (basketball),2.23,0.8,4.63,0.76,4.73,0.78
basse-cour,farmyard,2.71,1.16,3.77,1.57,4.1,1.09
beau-frère,brother-in-law,2.84,0.82,4.83,0.75,3.9,1.27
beau-père,father-in-law,2.61,0.84,4.73,0.78,3.9,1.3
beaux-arts,fine arts,4.1,1.01,4.13,1.33,3.03,1.45
beaux-parents,stepparents,2.74,0.86,4.57,1.17,4,1.14
bec de gaz,gas burner,4.65,0.71,2.07,1.31,1.93,1.23
bec-de-lièvre,harelip,4.26,0.82,2.9,1.52,3.87,1.36
belle-sœur,sister-in-law,2.71,0.9,4.53,1.14,3.93,1.28
belles manières,beautiful manners,3.48,0.93,3.63,1.43,2.77,1.52
